epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,22938.3,0.7392,2.17499,0.21187,0.35603,0.01245,0.73119,0.9761,0.97841,0.99112,0.88843,0.91069,0.89181,0.89755,0.76477,0.52031,1.29306,0.0667,0.19678,0.01122,0,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,23411.3,0.73825,2.13131,0.21259,0.35908,0.01247,0.6878,0.97065,0.98305,0.99102,0.8887,0.91274,0.89041,0.89866,0.7651,0.51977,1.28692,0.06596,0.19705,0.01122,0,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,23882.6,0.72945,2.11322,0.21226,0.34816,0.01234,0.67109,0.9736,0.98063,0.9913,0.88946,0.91942,0.88811,0.8993,0.76637,0.51717,1.28555,0.06565,0.19465,0.01117,0,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,24353.9,0.73325,2.10598,0.20945,0.35005,0.01236,0.6472,0.97562,0.97894,0.9915,0.89004,0.91531,0.88887,0.89886,0.76718,0.51612,1.28128,0.06584,0.19268,0.01114,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,24860.8,0.72696,2.08011,0.20884,0.34415,0.01215,0.56646,0.97261,0.98394,0.99146,0.89073,0.91838,0.89051,0.89986,0.76819,0.51644,1.27726,0.06553,0.19344,0.01116,0,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,25380.2,0.72123,2.06685,0.20718,0.34152,0.01205,0.51675,0.97447,0.98025,0.99161,0.89136,0.9198,0.8876,0.90018,0.77013,0.51325,1.2692,0.06497,0.19366,0.01108,0,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,25846.6,0.73027,2.11416,0.20828,0.34954,0.0123,0.62894,0.97208,0.98068,0.9914,0.89175,0.91662,0.88823,0.89923,0.76952,0.51289,1.26641,0.06459,0.19435,0.01108,0,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,26318.4,0.7288,2.07772,0.20636,0.3465,0.0123,0.53568,0.97618,0.97645,0.99141,0.8917,0.91653,0.88824,0.89095,0.76852,0.51289,1.26532,0.06413,0.19361,0.01109,0,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,26792.3,0.72336,2.04615,0.20447,0.3378,0.01214,0.53904,0.9725,0.97999,0.99152,0.89158,0.91632,0.89026,0.89901,0.77101,0.51243,1.25492,0.06377,0.19292,0.01108,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,27263.6,0.72328,2.07792,0.20593,0.34564,0.01214,0.54132,0.9741,0.9805,0.99182,0.89217,0.92164,0.88977,0.90121,0.7742,0.5123,1.249,0.0636,0.18944,0.01107,0,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,27806.7,0.72002,2.04321,0.20441,0.33722,0.01212,0.53493,0.97324,0.98088,0.99181,0.89157,0.92164,0.89035,0.90117,0.77501,0.51122,1.24224,0.06338,0.19024,0.01105,0,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,28276.4,0.72534,2.024,0.20302,0.34135,0.01223,0.48594,0.97622,0.97849,0.99181,0.89156,0.92233,0.89133,0.90167,0.77547,0.51051,1.24087,0.06294,0.18901,0.01103,0,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,28738.8,0.72709,2.04974,0.20264,0.34188,0.01222,0.51493,0.97734,0.97825,0.99181,0.8921,0.91044,0.90298,0.9018,0.77539,0.51067,1.23578,0.06245,0.18792,0.01103,0,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,29196.9,0.7163,2.02531,0.20187,0.34712,0.01193,0.45814,0.97662,0.97964,0.99193,0.89207,0.92331,0.89117,0.90149,0.77553,0.51021,1.23199,0.06209,0.18735,0.01101,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,29667.8,0.71448,2.03295,0.20318,0.33183,0.01204,0.49529,0.97884,0.97846,0.9919,0.89144,0.91898,0.89639,0.9015,0.77554,0.5107,1.22987,0.06173,0.18699,0.01102,0,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,30209,0.72156,2.00263,0.20068,0.34268,0.01214,0.44537,0.97787,0.97872,0.99181,0.89129,0.91255,0.90315,0.9016,0.77555,0.51049,1.22922,0.06132,0.18773,0.01102,0,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,30674.3,0.71781,2.01718,0.19974,0.33468,0.01205,0.4449,0.97725,0.98003,0.99209,0.89174,0.92114,0.89614,0.90164,0.77595,0.51032,1.22691,0.06105,0.18724,0.01101,0,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,31142.2,0.71781,1.99256,0.19876,0.33744,0.01197,0.40325,0.9772,0.97999,0.99198,0.89176,0.91775,0.89723,0.90181,0.77607,0.50938,1.22469,0.06081,0.18865,0.01099,0,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,31613.4,0.71857,2.01934,0.20034,0.34433,0.01203,0.49326,0.97564,0.98127,0.9918,0.89147,0.92229,0.8927,0.90171,0.77608,0.50932,1.22064,0.06048,0.18936,0.01099,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
